filename,cipher_family,code,target_size,implementation,sample_id,fingerprint,file_size,entropy,chi2,byte_mean,byte_variance,byte_skewness,byte_kurtosis,serial_corr,bigram_entropy,trigram_entropy,runs,runs_z,block_entropy_std_16,block_entropy_std_8,block_mean_std_16,block_mean_std_8,top8_ratio,top16_ratio,low_byte_ratio,high_byte_ratio,even_byte_ratio,zero_byte_ratio,peak_count,max_run_length,diff_entropy
chacha20_s032_liboqs.bin,ChaCha20,chacha20,528,liboqs,350,de96ada1838c8b6a,528,7.63865468258758,244.84848484848484,130.66666666666666,5299.972222222223,-0.018076471853011287,-1.1761970811536158,-0.06283111356120123,9.037864085223552,9.038918989292302,282,1.5162461563261562,0.06839193214116586,0.0815934061687046,15.922231000247816,20.78754058166438,0.08143939393939394,0.1571969696969697,0.04734848484848485,0.06439393939393939,0.48484848484848486,0.001893939393939394,1,2,7.636023253288313
aes128_s060_liboqs.bin,AES-128,aes128,4112,liboqs,351,395959a7387992a3,4112,7.9552944051383365,248.59143968871595,127.90393968871595,5609.7317743621215,-0.01306233109806166,-1.2256864400354013,-0.026719692380833097,11.944764075561222,12.004922678569045,2074,0.5305246866434492,0.09598609406997881,0.08701333320961584,17.320332522667655,24.91973096827857,0.04815175097276265,0.09265564202334631,0.0646887159533074,0.058365758754863814,0.5051070038910506,0.005350194552529183,0,2,7.951607245098487
des_s055_liboqs.bin,DES,des,2056,liboqs,352,86d4b5e4032f0159,2056,7.9100982725670415,240.28015564202335,130.6624513618677,5490.277111500553,-0.0665564992137883,-1.2120961341554155,0.0008086227292827744,10.971832654238145,11.004220466318195,1007,-0.8928236397866681,0.12075724981098344,0.07729638336699973,20.01544915428994,26.92867787768,0.05496108949416342,0.10505836575875487,0.06420233463035019,0.05496108949416342,0.5038910505836576,0.003404669260700389,0,2,7.905096379154132
mlkem768_s015_liboqs.bin,ML-KEM-768,mlkem768,1088,liboqs,353,42fe3cfa519f47e9,1088,7.853329808282024,213.64705882352942,128.26654411764707,5510.745130703936,-0.03294506158433513,-1.1986579344502108,0.011662660013492008,10.075096666609646,10.084808387804364,527,-1.0880307816566992,0.0777271448269655,0.08606396993176195,20.43919374178517,26.09143199823731,0.06525735294117647,0.12408088235294118,0.06709558823529412,0.05238970588235294,0.5183823529411765,0.003676470588235294,0,2,7.801109588383561
aes256_s071_liboqs.bin,AES-256,aes256,2080,liboqs,354,2ab6c0a294a91aa4,2080,7.912353956012063,245.16923076923078,129.92932692307693,5674.541639931584,-0.04245869902181029,-1.2423281871076388,0.021438499685380554,10.988239807647055,11.020979938904212,1024,-0.6577207792979972,0.08385254915624211,0.08428695000311971,17.197193749687045,27.04065436503479,0.05480769230769231,0.10528846153846154,0.06394230769230769,0.06298076923076923,0.49759615384615385,0.0028846153846153848,0,2,7.917681925962044
3des_s070_openssl.bin,3DES,3des,4112,openssl,355,7d93ff0017ba34d5,4112,7.953902884046192,265.5252918287938,126.17120622568093,5542.790727338794,0.02465903435441348,-1.218744531990972,-0.025459181417138675,11.93965107385637,12.004922678569045,2104,1.4800377333866754,0.09211441200303486,0.09181155774002471,18.733668930810694,26.220959574657766,0.051313229571984434,0.09776264591439689,0.06371595330739299,0.05860894941634241,0.49221789883268485,0.005107003891050584,0,2,7.954740986139981
mlkem768_s051_liboqs.bin,ML-KEM-768,mlkem768,1088,liboqs,356,6f68d15aad4220f2,1088,7.841004837693316,221.64705882352942,128.55698529411765,5297.175061499784,-0.01157992234067579,-1.1644425839080574,-0.04484624193547223,10.075096666609646,10.084808387804364,556,0.6745626774841263,0.07251133427689713,0.062147579060209436,17.408755480565997,25.69908528126831,0.06801470588235294,0.11948529411764706,0.05606617647058824,0.058823529411764705,0.5404411764705882,0.0027573529411764708,0,2,7.846147647952595
rsa2048_s026_openssl.bin,RSA-2048,rsa2048,256,openssl,357,d4cb2aa04fc25204,256,7.197955810420109,240.0,127.95703125,5721.275497436523,-0.03660481845081437,-1.21106851764577,0.009334352752362971,7.986510299603956,7.9886846867721655,130,0.1608259771614675,0.05793905068043487,0.06051536478449089,20.64021359769318,30.412746758641735,0.109375,0.203125,0.078125,0.0546875,0.53515625,0.0078125,4,1,7.195730925126527
des_s079_liboqs.bin,DES,des,1040,liboqs,358,5610d14cd471f87a,1040,7.817195083422153,239.01538461538462,128.0730769230769,5525.2927366863905,0.016970466441912305,-1.246595756475197,0.0037175973452197803,10.011355299828177,10.019590728357882,525,0.26021742164774464,0.08341867878784212,0.09111813646524718,19.34486667036201,27.924368943937832,0.06442307692307692,0.12115384615384615,0.05673076923076923,0.06057692307692308,0.5288461538461539,0.0009615384615384616,0,2,7.846773470633027
aes128_s090_openssl.bin,AES-128,aes128,288,openssl,359,afdfa1a0a82a6d90,288,7.256827595108296,252.44444444444446,133.56597222222223,5330.808147665895,-0.1594128208345054,-1.1294021506963219,0.021074266185570158,8.157938285560705,8.159871336778389,152,1.0219910110250532,0.0858980338670346,0.08645763609714398,15.20879668561022,22.619234342683406,0.1076388888888889,0.1909722222222222,0.04861111111111111,0.06944444444444445,0.53125,0.006944444444444444,6,2,7.192530904047442
