filename,cipher_family,implementation,plaintext_length,padding_mode,file_size,entropy,chi2,byte_mean,byte_variance,byte_skewness,byte_kurtosis,serial_corr,bigram_entropy,trigram_entropy,runs,runs_z,block_entropy_std_16,block_entropy_std_8,block_mean_std_16,block_mean_std_8,top8_ratio,top16_ratio,low_byte_ratio,high_byte_ratio,even_byte_ratio,zero_byte_ratio,peak_count,max_run_length,diff_entropy
aes_256_s039_liboqs.bin,AES-256,liboqs,2048,ANSI_X923,2080,7.911088681685815,254.27692307692308,128.61923076923077,5366.358860946746,-0.025707510772541273,-1.1556638740963445,0.0350717168784067,10.992814013998341,11.020979938904212,1005,-1.5575350791015314,0.0870357882667714,0.09054197123100488,19.813169495716135,26.86857195728252,0.05913461538461538,0.11009615384615384,0.06346153846153846,0.05913461538461538,0.5057692307692307,0.0033653846153846156,0,2,7.907826453833111
des_s040_openssl.bin,DES,openssl,4096,ISO10126,4112,7.957473605391503,240.8715953307393,127.55374513618678,5470.659076440881,-0.008915178419375192,-1.2016248400014664,-0.002510068852809729,11.941964324891233,12.004922678569045,2090,1.0301222811219017,0.07966369353667811,0.0776094522196821,18.84993268589746,26.36780932335611,0.04961089494163424,0.0946011673151751,0.06614785992217899,0.05763618677042802,0.4968385214007782,0.004377431906614786,0,2,7.954385126125557
des_s041_openssl.bin,DES,openssl,1024,PKCS7,1040,7.836692783469452,228.1846153846154,131.03269230769232,5510.5450850591715,-0.11688087673849518,-1.1589358282257276,-0.04690170380841584,10.007505444197763,10.019590728357882,551,1.9911500436472496,0.07169750723964326,0.08567949773055948,17.97980339857695,24.263926184880415,0.07307692307692308,0.13173076923076923,0.07788461538461539,0.06346153846153846,0.48846153846153845,0.0028846153846153848,0,2,7.825661877493093
des_s042_openssl.bin,DES,openssl,512,PKCS7,528,7.603195028116021,261.3333333333333,127.62121212121212,5332.360307621671,-0.07982177716803127,-1.2031791710853466,-0.019995039125918355,9.037864085223552,9.038918989292302,273,0.7245463311650391,0.08211925526014696,0.11439143083743561,16.83981277699059,21.872748473922737,0.08901515151515152,0.16477272727272727,0.07007575757575757,0.045454545454545456,0.4734848484848485,0.011363636363636364,2,2,7.597332915827869
des_s043_openssl.bin,DES,openssl,1024,Zero,1032,7.80578194242333,262.8837209302325,125.51065891472868,5163.116165457304,0.06275516741519327,-1.1305699861640137,-0.0059634223418458835,9.99236983948256,10.008428622070578,527,0.6825415860153363,0.1465833769243039,0.09204916346541021,20.679127692322627,27.27923646306274,0.07364341085271318,0.1308139534883721,0.06201550387596899,0.04844961240310078,0.5203488372093024,0.005813953488372093,1,2,7.824275651905153
des_s044_openssl.bin,DES,openssl,1024,PKCS7,1040,7.830555743589619,234.09230769230768,127.41057692307692,5274.07084966716,0.01606455899411116,-1.1595626579215301,0.021136731393163622,10.005580516382556,10.019590728357882,515,-0.36272711355610615,0.09813346786286979,0.08224386453978114,17.656130340747584,24.51020310805133,0.06923076923076923,0.12788461538461537,0.057692307692307696,0.05673076923076923,0.4971153846153846,0.0057692307692307696,0,2,7.82924596362566
des_s045_openssl.bin,DES,openssl,512,Random,520,7.629535152724472,228.30769230769232,126.54615384615384,5394.509408284023,-0.007159394097315344,-1.1485163513545606,0.01009106245645844,9.015737163810675,9.016808287686555,248,-1.0869342588721038,0.17440703686698997,0.07236495277779531,18.600680878497695,27.085482284643113,0.08269230769230769,0.14807692307692308,0.075,0.05961538461538462,0.5076923076923077,0.0038461538461538464,1,2,7.631159770063651
des_s046_openssl.bin,DES,openssl,1024,ISO10126,1040,7.81359076122072,247.87692307692308,126.87884615384615,5532.360321745562,-0.03440053444298435,-1.219785956642773,0.02203725118446136,10.017130083273798,10.019590728357882,502,-1.162334718601172,0.0842286127657878,0.08567949773055948,17.556806416693625,25.71231343403735,0.06634615384615385,0.12403846153846154,0.06923076923076923,0.05480769230769231,0.4826923076923077,0.0057692307692307696,0,2,7.791063509243306
des_s047_openssl.bin,DES,openssl,2048,Zero,2056,7.889919544446201,302.7859922178988,127.6785019455253,5434.931172074898,0.008044678170324485,-1.2086982125962176,0.05278091620681096,10.968912946208949,11.003246756483724,1003,-1.1376759475559004,0.11294666908296913,0.0766571529371422,19.39645780202946,26.686058664328616,0.05982490272373541,0.11429961089494163,0.057392996108949414,0.05885214007782101,0.4965953307392996,0.0029182879377431907,0,2,7.919426147094675
des_s048_openssl.bin,DES,openssl,2048,ISO10126,2064,7.921517923087155,217.67441860465115,127.35707364341086,5469.437905389926,0.03703141603638297,-1.209628036499872,8.954237778514247e-05,10.984352633273785,11.009828617368107,1045,0.5532746793926672,0.07618768948198948,0.08261475839939436,19.83074761528195,26.64391557691494,0.055232558139534885,0.10319767441860465,0.05862403100775194,0.06443798449612403,0.5092054263565892,0.0029069767441860465,0,2,7.916722960322878
